PersonRoleId,PersonId,LastName,UsedFirstName,StartDate,StartDateIsApproximate,EndDate,EndDateIsApproximate,EndReasonEn,EndReasonTypeEn,SourceOfInformationEn,IsActing,ActingTextEn,HasCrossedTheFloor,OrganizationId,OrganizationLongEn,OrganizationShortEn,OrganizationAcronymEn,OrganizationTypeId,OrganizationTypeEn,OrganizationProvinceEn,OrganizationHasProfile,IsSenatorialDivision,ToBeStyledAsEn,GroupId,Source,PortFolioEn,Committee,GroupingTitleEn,GroupingOrder,ParliamentStart,ParliamentEnd,ParliamentNumber,PartyOrganizationId,PartyEn,PartyStartDate,PartyEndDate,PersonPersonId,PersonLastName,PersonUsedFirstName,PersonGender,MemberOfParliament,IsMP,IsSenator,GovernorGeneral,NotesEn,InternalNotes,IsCurrent,RoleId,NameEn,Ordinal,Classes
322026,20137,Aitchison,Scott,1994-12-01,True,1997-11-01,True,,,,False,,False,3782,Huntsville,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,1227,Councillor,,Municipal
322025,20137,Aitchison,Scott,2000-12-01,True,2006-11-01,True,,,,False,,False,3782,Huntsville,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,1227,Councillor,,Municipal
322024,20137,Aitchison,Scott,2010-12-01,True,2019-12-01,True,,,,False,,False,3782,Huntsville,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,1227,Councillor,,Municipal
318775,20137,Aitchison,Scott,2014-10-27,False,2019-10-28,False,,,,False,,False,3782,Huntsville,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,223,Mayor,,Municipal
163644,17852,Albas,Dan,2008-01-01,True,2011-01-01,True,,,,False,,False,6450,Penticton,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,1227,Councillor,,Municipal
100298,7131,Angus,Charlie,2000-01-01,True,2004-04-01,True,,,,False,,False,9234,Timmins's Catholic School Board,,,29,School Board,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,576,School Trustee,,Municipal
318778,20153,Bachrach,Taylor,2008-01-01,True,2011-01-01,True,,,,False,,False,15299,Telkwa,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,1227,Councillor,,Municipal
318780,20153,Bachrach,Taylor,2011-01-01,True,2019-01-01,True,,,,False,,False,15300,Smithers,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,223,Mayor,,Municipal
266741,18520,Badawey,Vance,1994-12-01,False,1997-11-30,False,,,,False,,False,11825,Port Colborne,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,777,City Councillor,,Municipal
266742,18520,Badawey,Vance,1997-12-01,False,2003-11-30,False,,,,False,,False,11825,Port Colborne,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,223,Mayor,,Municipal
321953,18520,Badawey,Vance,1997-12-01,False,2003-11-30,False,,,,False,,False,5862,Niagara Regional Municipality,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,562,Regional Councillor,,Municipal
266743,18520,Badawey,Vance,2006-12-01,False,2014-11-30,True,,,,False,,False,11825,Port Colborne,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,223,Mayor,,Municipal
321954,18520,Badawey,Vance,2006-12-01,False,2014-11-30,False,,,,False,,False,5862,Niagara Regional Municipality,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,562,Regional Councillor,,Municipal
317542,20051,Barrett,Michael,2014-12-01,False,2018-12-03,False,,,,False,,False,15223,Edwardsburgh Cardinal ,,,11,Municipal Government,,False,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,731,Municipal Councillor,,Municipal
266777,18430,Beech,Terry,1999-01-01,True,2001-01-01,True,,,,False,,False,5598,Nanaimo,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,777,City Councillor,,Municipal
266807,18578,Berthold,Luc,2006-01-01,True,2013-01-01,True,,,,False,,False,11831,Thetford Mines,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,223,Mayor,,Municipal
310364,20014,Black,Robert,2014-01-01,True,2018-02-01,True,,,,False,,False,11008,Wellington County,,,5,Regional Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,1227,Councillor,,Municipal
149051,17308,Block,Kelly,2000-01-01,True,2003-01-01,True,,,,False,,False,10788,Waldheim,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,1227,Councillor,,Municipal
149050,17308,Block,Kelly,2003-10-01,True,2008-01-01,True,,,,False,,False,10788,Waldheim,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,223,Mayor,,Municipal
268920,18480,Brassard,John,2006-01-01,True,2015-09-01,True,,,,False,,False,786,Barrie,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,777,City Councillor,,Municipal
267013,18500,Bratina,Bob,2004-01-01,True,2010-01-01,True,,,,False,,False,3530,Hamilton,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,1227,Councillor,,Municipal
267012,18500,Bratina,Bob,2010-01-01,True,2014-01-01,True,,,,False,,False,3530,Hamilton,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,223,Mayor,,Municipal
15052,14725,Calkins,Blaine,2004-01-01,True,2006-01-01,True,,,,False,,False,4386,Lacombe,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,698,Town Councillor,,Municipal
50084,10987,Campbell,Larry W.,2002-12-01,True,2005-11-29,False,,,,False,,False,9538,Vancouver,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,223,Mayor,,Municipal
137207,17412,Carignan,Claude,2000-11-01,True,2009-09-01,True,,,,False,,False,8226,Saint-Eustache,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,223,Mayor,,Municipal
323592,20221,Chahal,George,2017-10-23,False,2021-09-19,False,,,,False,,False,1397,Calgary,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,777,City Councillor,,Municipal
267088,18536,Chen,Shaun,2006-12-01,False,2015-10-18,False,,,,False,,False,9279,Toronto's Board of Education,,,29,School Board,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,575,School Trustee,,Municipal
267087,18536,Chen,Shaun,2014-12-01,False,2015-08-04,False,,,,False,,False,9279,Toronto's Board of Education,,,29,School Board,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,756,Chair,,Committee|Officers of Party Caucuses and Executives|ElectionProcessCloseDissolution
322103,20199,Clement,Bernadette,2014-10-27,False,2018-12-01,False,,,,False,,False,2210,Cornwall,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,777,City Councillor,,Municipal
322100,20199,Clement,Bernadette,2018-12-01,False,2021-06-21,False,,,,False,,False,2210,Cornwall,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,223,Mayor,,Municipal
323523,20230,Collins,Chad,1995-06-01,True,2021-09-25,False,,,,False,,False,3530,Hamilton,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,777,City Councillor,,Municipal
318928,20162,Collins,Laurel,2018-10-20,False,,False,,,,False,,False,9640,Victoria,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,True,1227,Councillor,,Municipal
267350,18524,Damoff,Pam,2010-01-01,True,2015-01-01,True,,,,False,,False,6091,Oakville,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,698,Town Councillor,,Municipal
18510,1176,Dawson,Dennis,1972-01-01,True,1977-01-01,True,,,,False,,False,6958,Québec's Catholic School Board,,,29,School Board,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,708,Trustee,,Municipal
32892,1176,Dawson,Dennis,1975-01-01,True,1977-01-01,True,,,,False,,False,6958,Québec's Catholic School Board,,,29,School Board,,True,False,,0,,,,Political Party,6,,,0,0,,,,0,,,,,False,False,,,,False,902,President,0.0,Minister For Portfolio|Officers of Party Caucuses and Executives|Deputy Minister|Political Party
267437,18420,Diotte,Kerry,2010-10-26,True,2013-10-29,False,,,,False,,False,2724,Edmonton,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,777,City Councillor,,Municipal
319014,20152,Dowdall,Terry,2010-01-01,True,2018-01-01,True,,,,False,,False,15318,Essa,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,223,Mayor,,Municipal
267471,18456,Duguid,Terry,1989-01-01,True,1995-01-01,True,,,,False,,False,10016,Winnipeg,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,731,Municipal Councillor,,Municipal
319015,20156,Duncan,Eric,2010-01-01,True,2018-01-01,True,,,,False,,False,15319,North Dundas,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,223,Mayor,,Municipal
267473,18501,Duvall,Scott,2006-01-01,True,2015-01-01,True,,,,False,,False,3530,Hamilton,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,777,City Councillor,,Municipal
268936,18482,Ellis,Neil R.,2006-01-01,True,2014-01-01,True,,,,False,,False,925,Belleville,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,223,Mayor,,Municipal
324339,18482,Ellis,Neil R.,2022-10-24,False,,False,,,,False,,False,925,Belleville,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,True,223,Mayor,,Municipal
102426,11432,Fast,Ed,1985-01-01,True,1990-01-01,True,,,,False,,False,357,Abbotsford's Board of Education,,,29,School Board,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,576,School Trustee,,Municipal
39166,11432,Fast,Ed,1996-01-01,True,2005-01-01,True,,,,False,,False,358,Abbotsford,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,Acted as deputy mayor for 3 years.,,False,777,City Councillor,,Municipal
267926,18473,Fisher,Darren,2009-09-19,True,2015-01-01,True,,,,False,,False,11916,Halifax Regional Council,,,5,Regional Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,731,Municipal Councillor,,Municipal
267927,18473,Fisher,Darren,2012-01-01,True,2012-01-01,True,,,,False,,False,2362,Dartmouth,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,1640,Deputy Mayor,,Municipal
284089,18717,Forest,Éric,1980-11-02,False,1981-10-31,False,,,,False,,False,6592,Pointe-au-Père,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,1227,Councillor,,Municipal
284090,18717,Forest,Éric,1981-11-01,False,1982-06-30,False,,,,False,,False,6592,Pointe-au-Père,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,223,Mayor,,Municipal
284091,18717,Forest,Éric,1994-01-01,True,1995-01-01,True,,,,False,,False,7257,Rimouski,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,731,Municipal Councillor,,Municipal
284088,18717,Forest,Éric,2005-11-01,True,2016-11-01,True,,,,False,,False,7257,Rimouski,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,223,Mayor,,Municipal
164569,17849,Garrison,Randall,2008-11-01,True,2011-01-01,True,,,,False,,False,10898,Esquimalt,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,1227,Councillor,,Municipal
269026,18506,Gerretsen,Mark,2006-01-01,True,2010-01-01,True,,,,False,,False,4242,Kingston,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,731,Municipal Councillor,,Municipal
269023,18506,Gerretsen,Mark,2010-10-25,False,2014-01-01,True,,,,False,,False,4242,Kingston,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,223,Mayor,,Municipal
268341,18586,Godin,Joël,,False,,False,,,,False,,False,11948,Saint-Joachim,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,True,731,Municipal Councillor,,Municipal
318776,20110,Green,Matthew,2014-10-27,False,2018-10-20,False,,,,False,,False,3530,Hamilton,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,777,City Councillor,,Municipal
284085,18709,Griffin,Diane,2006-01-01,True,2016-01-01,True,,,,False,,False,12260,Stratford (PEI),,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,1227,Councillor,,Municipal
139853,17762,Généreux,Bernard,2005-01-01,True,2009-11-01,True,,,,False,,False,10626,La Pocatière,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,223,Mayor,,Municipal
114511,6440,Holland,Mark,1997-12-01,False,2004-06-28,False,,,,False,,False,6533,Pickering,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,1227,Councillor,,Municipal
107773,6440,Holland,Mark,2000-12-01,False,2004-06-28,False,,,,False,,False,2624,Durham County,,,5,Regional Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,1227,Councillor,,Municipal
93915,6440,Holland,Mark,2004-01-01,True,2004-06-01,True,,,,True,,False,6533,Pickering,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,223,Mayor,,Municipal
268412,18582,Housefather,Anthony,1994-01-01,True,2001-01-01,True,,,,False,,False,11960,Hampstead,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,731,Municipal Councillor,,Municipal
281200,18582,Housefather,Anthony,2001-01-01,True,2005-01-01,True,,,,False,,False,5470,Montreal,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,1227,Councillor,,Municipal
268415,18582,Housefather,Anthony,2005-11-07,False,2015-10-01,True,,,,False,,False,11958,Côte-Saint-Luc,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,223,Mayor,,Municipal
268437,18434,Johns,Gord,2008-01-01,True,2011-01-01,True,,,,False,,False,11966,Tofino,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,731,Municipal Councillor,,Municipal
207046,5058,Jones,Yvonne,1991-01-01,True,1996-01-01,True,,,,False,,False,11095,Mary's Harbour,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,223,Mayor,,Municipal
